Period,Date,Income,Outflows,Begin Total Savings,Amount To Save,End Total Savings,Savings Value Change,Savings Return,Begin Investment Portfolio,Investment Return,Amount To Invest,End Investment Portfolio,Portfolio Value Change,Investment Return Rate,Cumulative Returns,Drawdown,Begin Total Assets,End Total Assets,Total Assets Value Change,Total Assets Return Rate
313,10/16/2049,2340.0,1599.16,103387.83,740.84,103544.25,156.42,0.0,1522982.64,-18634.74,740.84,1505088.74,-17893.9,-0.01,1137802.51,-0.02,1626370.47,1608632.99,-17737.48,-0.01
314,11/15/2049,2340.0,1623.15,103544.25,716.85,103700.67,156.42,0.0,1505088.74,29699.92,716.85,1535505.52,30416.78,0.02,1167502.43,0.01,1608632.99,1639206.19,30573.19,0.02
315,12/15/2049,2340.0,1623.15,103700.67,716.85,103857.08,156.42,0.0,1535505.52,3784.52,716.85,1540006.89,4501.37,0.0,1171286.95,0.0,1639206.19,1643863.98,4657.79,0.0
316,01/14/2050,2340.0,1623.15,103857.08,716.85,104013.5,156.42,0.0,1540006.89,-70899.15,716.85,1469824.6,-70182.29,-0.05,1100387.8,-0.06,1643863.98,1573838.1,-70025.88,-0.04
317,02/13/2050,2340.0,1623.15,104013.5,716.85,104169.92,156.42,0.0,1469824.6,25386.3,716.85,1495927.76,26103.16,0.02,1125774.11,-0.04,1573838.1,1600097.68,26259.58,0.02
318,03/15/2050,2340.0,1623.15,104169.92,716.85,104326.33,156.42,0.0,1495927.76,60451.67,716.85,1557096.29,61168.53,0.04,1186225.78,0.01,1600097.68,1661422.62,61324.95,0.04
319,04/14/2050,2340.0,1623.15,104326.33,716.85,104482.75,156.42,0.0,1557096.29,5202.33,716.85,1563015.47,5919.19,0.0,1191428.11,0.0,1661422.62,1667498.22,6075.6,0.0
320,05/14/2050,2340.0,1623.15,104482.75,716.85,104639.17,156.42,0.0,1563015.47,9392.69,716.85,1573125.02,10109.55,0.01,1200820.8,0.01,1667498.22,1677764.19,10265.96,0.01
321,06/13/2050,2340.0,1623.15,104639.17,716.85,104795.58,156.42,0.0,1573125.02,88395.54,716.85,1662237.41,89112.39,0.06,1289216.34,0.07,1677764.19,1767033.0,89268.81,0.05
322,07/13/2050,2340.0,1623.15,104795.58,716.85,104952.0,156.42,0.0,1662237.41,-57229.67,716.85,1605724.59,-56512.82,-0.03,1231986.67,-0.04,1767033.0,1710676.59,-56356.4,-0.03
323,08/12/2050,2340.0,1623.15,104952.0,716.85,105108.42,156.42,0.0,1605724.59,-68932.67,716.85,1537508.78,-68215.81,-0.04,1163054.0,-0.1,1710676.59,1642617.2,-68059.4,-0.04
324,09/11/2050,4590.0,1623.15,105108.42,2966.85,105264.83,156.42,0.0,1537508.78,-21529.25,2966.85,1518946.39,-18562.39,-0.01,1141524.76,-0.11,1642617.2,1624211.22,-18405.97,-0.01
325,10/11/2050,2340.0,1623.15,105264.83,716.85,105421.25,156.42,0.0,1518946.39,-49530.92,716.85,1470132.32,-48814.07,-0.03,1091993.84,-0.15,1624211.22,1575553.57,-48657.65,-0.03
326,11/10/2050,2340.0,1647.49,105421.25,692.51,105577.67,156.42,0.0,1470132.32,80257.1,692.51,1551081.93,80949.61,0.06,1172250.94,-0.09,1575553.57,1656659.6,81106.02,0.05
327,12/10/2050,2340.0,1647.49,105577.67,692.51,105734.08,156.42,0.0,1551081.93,29540.49,692.51,1581314.93,30233.0,0.02,1201791.43,-0.07,1656659.6,1687049.02,30389.42,0.02
328,01/09/2051,2340.0,1647.49,105734.08,692.51,105890.5,156.42,0.0,1581314.93,-33532.99,692.51,1548474.45,-32840.49,-0.02,1168258.44,-0.09,1687049.02,1654364.95,-32684.07,-0.02
329,02/08/2051,2340.0,1647.49,105890.5,692.51,106046.92,156.42,0.0,1548474.45,-19582.17,692.51,1529584.78,-18889.67,-0.01,1148676.26,-0.11,1654364.95,1635631.7,-18733.25,-0.01
330,03/10/2051,2340.0,1647.49,106046.92,692.51,106203.33,156.42,0.0,1529584.78,162955.68,692.51,1693232.96,163648.18,0.11,1311631.94,0.02,1635631.7,1799436.3,163804.6,0.1
331,04/09/2051,2340.0,1647.49,106203.33,692.51,106359.75,156.42,0.0,1693232.96,-21157.96,692.51,1672767.51,-20465.45,-0.01,1290473.98,-0.02,1799436.3,1779127.26,-20309.03,-0.01
332,05/09/2051,2340.0,1647.49,106359.75,692.51,106516.17,156.42,0.0,1672767.51,-29617.48,692.51,1643842.54,-28924.97,-0.02,1260856.5,-0.04,1779127.26,1750358.71,-28768.56,-0.02
333,06/08/2051,2340.0,1647.49,106516.17,692.51,106672.58,156.42,0.0,1643842.54,31003.75,692.51,1675538.8,31696.25,0.02,1291860.25,-0.02,1750358.71,1782211.38,31852.67,0.02
334,07/08/2051,2340.0,1647.49,106672.58,692.51,106829.0,156.42,0.0,1675538.8,50789.01,692.51,1727020.31,51481.52,0.03,1342649.26,0.02,1782211.38,1833849.31,51637.94,0.03
335,08/07/2051,2340.0,1647.49,106829.0,692.51,106985.42,156.42,0.0,1727020.31,27679.27,692.51,1755392.09,28371.77,0.02,1370328.53,0.02,1833849.31,1862377.5,28528.19,0.02
336,09/06/2051,4590.0,1647.49,106985.42,2942.51,107141.83,156.42,0.0,1755392.09,-39905.09,2942.51,1718429.5,-36962.58,-0.02,1330423.44,-0.03,1862377.5,1825571.34,-36806.17,-0.02
337,10/06/2051,2340.0,1647.49,107141.83,692.51,107298.25,156.42,0.0,1718429.5,-53829.81,692.51,1665292.2,-53137.31,-0.03,1276593.63,-0.07,1825571.34,1772590.45,-52980.89,-0.03
338,11/05/2051,2340.0,1672.21,107298.25,667.79,107454.67,156.42,0.0,1665292.2,48073.59,667.79,1714033.59,48741.39,0.03,1324667.22,-0.03,1772590.45,1821488.25,48897.81,0.03
339,12/05/2051,2340.0,1672.21,107454.67,667.79,107611.08,156.42,0.0,1714033.59,11256.21,667.79,1725957.6,11924.01,0.01,1335923.44,-0.03,1821488.25,1833568.68,12080.43,0.01
340,01/04/2052,2340.0,1672.21,107611.08,667.79,107767.5,156.42,0.0,1725957.6,-82607.75,667.79,1644017.64,-81939.96,-0.05,1253315.68,-0.09,1833568.68,1751785.14,-81783.54,-0.04
341,02/03/2052,2340.0,1672.21,107767.5,667.79,107923.92,156.42,0.0,1644017.64,79867.76,667.79,1724553.19,80535.55,0.05,1333183.44,-0.03,1751785.14,1832477.11,80691.97,0.05
342,03/04/2052,2340.0,1672.21,107923.92,667.79,108080.33,156.42,0.0,1724553.19,60381.13,667.79,1785602.11,61048.92,0.04,1393564.57,0.02,1832477.11,1893682.45,61205.34,0.03
343,04/03/2052,2340.0,1672.21,108080.33,667.79,108236.75,156.42,0.0,1785602.11,290.44,667.79,1786560.35,958.23,0.0,1393855.01,0.0,1893682.45,1894797.1,1114.65,0.0
344,05/03/2052,2340.0,1672.21,108236.75,667.79,108393.17,156.42,0.0,1786560.35,-892.39,667.79,1786335.75,-224.6,-0.0,1392962.61,-0.0,1894797.1,1894728.91,-68.18,-0.0
345,06/02/2052,2340.0,1672.21,108393.17,667.79,108549.58,156.42,0.0,1786335.75,29228.89,667.79,1816232.43,29896.68,0.02,1422191.5,0.02,1894728.91,1924782.01,30053.1,0.02
346,07/02/2052,2340.0,1672.21,108549.58,667.79,108706.0,156.42,0.0,1816232.43,-27485.55,667.79,1789414.67,-26817.76,-0.01,1394705.95,-0.02,1924782.01,1898120.67,-26661.34,-0.01
347,08/01/2052,2340.0,1672.21,108706.0,667.79,108862.42,156.42,0.0,1789414.67,-67658.51,667.79,1722423.95,-66990.72,-0.04,1327047.44,-0.07,1898120.67,1831286.37,-66834.3,-0.04
348,08/31/2052,4590.0,1672.21,108862.42,2917.79,109018.83,156.42,0.0,1722423.95,33561.44,2917.79,1758903.18,36479.23,0.02,1360608.87,-0.04,1831286.37,1867922.02,36635.65,0.02
349,09/30/2052,2340.0,1672.21,109018.83,667.79,109175.25,156.42,0.0,1758903.18,-71979.95,667.79,1687591.03,-71312.16,-0.04,1288628.92,-0.09,1867922.02,1796766.28,-71155.74,-0.04
350,10/30/2052,2340.0,1697.29,109175.25,642.71,109331.67,156.42,0.0,1687591.03,36829.99,642.71,1725063.73,37472.7,0.02,1325458.91,-0.07,1796766.28,1834395.39,37629.12,0.02
351,11/29/2052,2340.0,1697.29,109331.67,642.71,109488.08,156.42,0.0,1725063.73,-70720.6,642.71,1654985.84,-70077.88,-0.04,1254738.31,-0.12,1834395.39,1764473.93,-69921.47,-0.04
352,12/29/2052,2340.0,1697.29,109488.08,642.71,109644.5,156.42,0.0,1654985.84,8313.52,642.71,1663942.07,8956.23,0.01,1263051.83,-0.11,1764473.93,1773586.57,9112.65,0.01
353,01/28/2053,2340.0,1697.29,109644.5,642.71,109800.92,156.42,0.0,1663942.07,6279.54,642.71,1670864.32,6922.25,0.0,1269331.37,-0.11,1773586.57,1780665.24,7078.67,0.0
354,02/27/2053,2340.0,1697.29,109800.92,642.71,109957.33,156.42,0.0,1670864.32,116216.21,642.71,1787723.24,116858.92,0.07,1385547.57,-0.03,1780665.24,1897680.57,117015.33,0.07
355,03/29/2053,2340.0,1697.29,109957.33,642.71,110113.75,156.42,0.0,1787723.24,-50188.6,642.71,1738177.35,-49545.89,-0.03,1335358.97,-0.06,1897680.57,1848291.1,-49389.47,-0.03
356,04/28/2053,2340.0,1697.29,110113.75,642.71,110270.17,156.42,0.0,1738177.35,-69692.88,642.71,1669127.18,-69050.17,-0.04,1265666.09,-0.11,1848291.1,1779397.35,-68893.75,-0.04
357,05/28/2053,2340.0,1697.29,110270.17,642.71,110426.58,156.42,0.0,1669127.18,-22922.27,642.71,1646847.62,-22279.56,-0.01,1242743.82,-0.13,1779397.35,1757274.21,-22123.14,-0.01
358,06/27/2053,2340.0,1697.29,110426.58,642.71,110583.0,156.42,0.0,1646847.62,-49585.28,642.71,1597905.05,-48942.57,-0.03,1193158.54,-0.16,1757274.21,1708488.05,-48786.15,-0.03
359,07/27/2053,2340.0,1697.29,110583.0,642.71,110739.42,156.42,0.0,1597905.05,-18852.93,642.71,1579694.83,-18210.22,-0.01,1174305.61,-0.17,1708488.05,1690434.25,-18053.81,-0.01
360,08/26/2053,4590.0,1697.29,110739.42,2892.71,110895.83,156.42,0.0,1579694.83,36104.39,2892.71,1618691.93,38997.1,0.02,1210410.0,-0.15,1690434.25,1729587.76,39153.51,0.02
361,09/25/2053,2340.0,1697.29,110895.83,642.71,111052.25,156.42,0.0,1618691.93,56488.61,642.71,1675823.25,57131.32,0.04,1266898.6,-0.11,1729587.76,1786875.5,57287.74,0.03
362,10/25/2053,2340.0,1722.75,111052.25,617.25,111208.67,156.42,0.0,1675823.25,109488.82,617.25,1785929.32,110106.07,0.07,1376387.42,-0.03,1786875.5,1897137.98,110262.49,0.06
363,11/24/2053,2340.0,1722.75,111208.67,617.25,111365.08,156.42,0.0,1785929.32,-30068.56,617.25,1756478.01,-29451.31,-0.02,1346318.86,-0.05,1897137.98,1867843.09,-29294.89,-0.02
364,12/24/2053,2340.0,1722.75,111365.08,617.25,111521.5,156.42,0.0,1756478.01,173724.53,617.25,1930819.79,174341.78,0.1,1520043.38,0.07,1867843.09,2042341.29,174498.2,0.09
365,01/23/2054,2340.0,1722.75,111521.5,617.25,111677.92,156.42,0.0,1930819.79,147510.07,617.25,2078947.11,148127.32,0.08,1667553.46,0.1,2042341.29,2190625.03,148283.74,0.07
366,02/22/2054,2340.0,1722.75,111677.92,617.25,111834.33,156.42,0.0,2078947.11,3006.37,617.25,2082570.73,3623.62,0.0,1670559.82,0.0,2190625.03,2194405.06,3780.04,0.0
367,03/24/2054,2340.0,1722.75,111834.33,617.25,111990.75,156.42,0.0,2082570.73,-146094.56,617.25,1937093.42,-145477.31,-0.07,1524465.26,-0.09,2194405.06,2049084.17,-145320.89,-0.07
368,04/23/2054,2340.0,1722.75,111990.75,617.25,112147.17,156.42,0.0,1937093.42,10799.89,617.25,1948510.56,11417.14,0.01,1535265.15,-0.08,2049084.17,2060657.73,11573.56,0.01
369,05/23/2054,2340.0,1722.75,112147.17,617.25,112303.58,156.42,0.0,1948510.56,21261.68,617.25,1970389.5,21878.94,0.01,1556526.83,-0.07,2060657.73,2082693.08,22035.35,0.01
370,06/22/2054,2340.0,1722.75,112303.58,617.25,112460.0,156.42,0.0,1970389.5,-138753.91,617.25,1832252.84,-138136.66,-0.07,1417772.93,-0.15,2082693.08,1944712.84,-137980.24,-0.07
371,07/22/2054,2340.0,1722.75,112460.0,617.25,112616.42,156.42,0.0,1832252.84,20076.31,617.25,1852946.4,20693.56,0.01,1437849.23,-0.14,1944712.84,1965562.81,20849.97,0.01
372,08/21/2054,4590.0,1722.75,112616.42,2867.25,112772.83,156.42,0.0,1852946.4,2893.84,2867.25,1858707.49,5761.09,0.0,1440743.07,-0.14,1965562.81,1971480.32,5917.51,0.0
373,09/20/2054,2340.0,1722.75,112772.83,617.25,112929.25,156.42,0.0,1858707.49,-34419.41,617.25,1824905.33,-33802.16,-0.02,1406323.66,-0.16,1971480.32,1937834.58,-33645.74,-0.02
374,10/20/2054,2340.0,1748.59,112929.25,591.41,113085.67,156.42,0.0,1824905.33,54589.25,591.41,1880085.99,55180.66,0.03,1460912.91,-0.13,1937834.58,1993171.66,55337.07,0.03
375,11/19/2054,2340.0,1748.59,113085.67,591.41,113242.08,156.42,0.0,1880085.99,80656.35,591.41,1961333.75,81247.76,0.04,1541569.25,-0.08,1993171.66,2074575.83,81404.17,0.04
376,12/19/2054,2340.0,1748.59,113242.08,591.41,113398.5,156.42,0.0,1961333.75,-16174.0,591.41,1945751.15,-15582.59,-0.01,1525395.25,-0.09,2074575.83,2059149.65,-15426.17,-0.01
377,01/18/2055,2340.0,1748.59,113398.5,591.41,113554.92,156.42,0.0,1945751.15,31705.2,591.41,1978047.77,32296.62,0.02,1557100.46,-0.07,2059149.65,2091602.69,32453.03,0.02
378,02/17/2055,2340.0,1748.59,113554.92,591.41,113711.33,156.42,0.0,1978047.77,-27749.03,591.41,1950890.15,-27157.62,-0.01,1529351.43,-0.08,2091602.69,2064601.48,-27001.2,-0.01
379,03/19/2055,2340.0,1748.59,113711.33,591.41,113867.75,156.42,0.0,1950890.15,-36186.27,591.41,1915295.29,-35594.86,-0.02,1493165.16,-0.11,2064601.48,2029163.04,-35438.44,-0.02
380,04/18/2055,2340.0,1748.59,113867.75,591.41,114024.17,156.42,0.0,1915295.29,21358.28,591.41,1937244.98,21949.69,0.01,1514523.43,-0.09,2029163.04,2051269.15,22106.1,0.01
381,05/18/2055,2340.0,1748.59,114024.17,591.41,114180.58,156.42,0.0,1937244.98,51093.51,591.41,1988929.9,51684.92,0.03,1565616.94,-0.06,2051269.15,2103110.48,51841.33,0.03
382,06/17/2055,2340.0,1748.59,114180.58,591.41,114337.0,156.42,0.0,1988929.9,-21661.13,591.41,1967860.18,-21069.72,-0.01,1543955.81,-0.08,2103110.48,2082197.18,-20913.3,-0.01
383,07/17/2055,2340.0,1748.59,114337.0,591.41,114493.42,156.42,0.0,1967860.18,-132800.83,591.41,1835650.76,-132209.42,-0.07,1411154.98,-0.16,2082197.18,1950144.18,-132053.0,-0.06
384,08/16/2055,4590.0,1748.59,114493.42,2841.41,114649.83,156.42,0.0,1835650.76,52339.63,2841.41,1890831.81,55181.05,0.03,1463494.62,-0.12,1950144.18,2005481.64,55337.46,0.03
385,09/15/2055,2340.0,1748.59,114649.83,591.41,114806.25,156.42,0.0,1890831.81,-87589.27,591.41,1803833.95,-86997.86,-0.05,1375905.35,-0.18,2005481.64,1918640.2,-86841.44,-0.04
386,10/15/2055,2340.0,1774.82,114806.25,565.18,114962.67,156.42,0.0,1803833.95,22744.33,565.18,1827143.47,23309.52,0.01,1398649.68,-0.16,1918640.2,1942106.13,23465.93,0.01
387,11/14/2055,2340.0,1774.82,114962.67,565.18,115119.08,156.42,0.0,1827143.47,126860.38,565.18,1954569.03,127425.56,0.07,1525510.06,-0.09,1942106.13,2069688.11,127581.98,0.07
388,12/14/2055,2340.0,1774.82,115119.08,565.18,115275.5,156.42,0.0,1954569.03,15339.94,565.18,1970474.15,15905.12,0.01,1540850.0,-0.08,2069688.11,2085749.65,16061.54,0.01
389,01/13/2056,2340.0,1774.82,115275.5,565.18,115431.92,156.42,0.0,1970474.15,-63790.27,565.18,1907249.06,-63225.09,-0.03,1477059.73,-0.12,2085749.65,2022680.98,-63068.67,-0.03
390,02/12/2056,2340.0,1774.82,115431.92,565.18,115588.33,156.42,0.0,1907249.06,-79495.65,565.18,1828318.6,-78930.46,-0.04,1397564.08,-0.16,2022680.98,1943906.93,-78774.05,-0.04
391,03/13/2056,2340.0,1774.82,115588.33,565.18,115744.75,156.42,0.0,1828318.6,88787.43,565.18,1917671.21,89352.61,0.05,1486351.51,-0.11,1943906.93,2033415.96,89509.03,0.05
392,04/12/2056,2340.0,1774.82,115744.75,565.18,115901.17,156.42,0.0,1917671.21,15042.53,565.18,1933278.92,15607.72,0.01,1501394.05,-0.1,2033415.96,2049180.09,15764.13,0.01
393,05/12/2056,2340.0,1774.82,115901.17,565.18,116057.58,156.42,0.0,1933278.92,52070.64,565.18,1985914.75,52635.82,0.03,1553464.69,-0.07,2049180.09,2101972.33,52792.24,0.03
394,06/11/2056,2340.0,1774.82,116057.58,565.18,116214.0,156.42,0.0,1985914.75,79813.35,565.18,2066293.28,80378.53,0.04,1633278.04,-0.02,2101972.33,2182507.28,80534.95,0.04
395,07/11/2056,2340.0,1774.82,116214.0,565.18,116370.42,156.42,0.0,2066293.28,13937.13,565.18,2080795.59,14502.31,0.01,1647215.17,-0.01,2182507.28,2197166.01,14658.73,0.01
396,08/10/2056,4590.0,1774.82,116370.42,2815.18,116526.83,156.42,0.0,2080795.59,-4488.63,2815.18,2079122.14,-1673.45,-0.0,1642726.54,-0.02,2197166.01,2195648.98,-1517.03,-0.0
397,09/09/2056,2340.0,1774.82,116526.83,565.18,116683.25,156.42,0.0,2079122.14,-50025.13,565.18,2029662.2,-49459.95,-0.02,1592701.41,-0.05,2195648.98,2146345.45,-49303.53,-0.02
398,10/09/2056,2340.0,1801.44,116683.25,538.56,116839.67,156.42,0.0,2029662.2,-197442.74,538.56,1832758.02,-196904.18,-0.1,1395258.67,-0.16,2146345.45,1949597.69,-196747.76,-0.09
399,11/08/2056,2340.0,1801.44,116839.67,538.56,116996.08,156.42,0.0,1832758.02,-79961.93,538.56,1753334.65,-79423.37,-0.04,1315296.75,-0.21,1949597.69,1870330.74,-79266.95,-0.04
400,12/08/2056,2340.0,1801.44,116996.08,538.56,117152.5,156.42,0.0,1753334.65,10588.19,538.56,1764461.4,11126.75,0.01,1325884.94,-0.21,1870330.74,1881613.9,11283.17,0.01
401,01/07/2057,2340.0,1801.44,117152.5,538.56,117308.92,156.42,0.0,1764461.4,4261.78,538.56,1769261.75,4800.34,0.0,1330146.72,-0.2,1881613.9,1886570.66,4956.76,0.0
402,02/06/2057,2340.0,1801.44,117308.92,538.56,117465.33,156.42,0.0,1769261.75,39390.96,538.56,1809191.27,39929.52,0.02,1369537.68,-0.18,1886570.66,1926656.6,40085.94,0.02
403,03/08/2057,2340.0,1801.44,117465.33,538.56,117621.75,156.42,0.0,1809191.27,7383.43,538.56,1817113.26,7921.99,0.0,1376921.11,-0.18,1926656.6,1934735.01,8078.4,0.0
404,04/07/2057,2340.0,1801.44,117621.75,538.56,117778.17,156.42,0.0,1817113.26,25239.67,538.56,1842891.48,25778.23,0.01,1402160.78,-0.16,1934735.01,1960669.65,25934.64,0.01
405,05/07/2057,2340.0,1801.44,117778.17,538.56,117934.58,156.42,0.0,1842891.48,65312.5,538.56,1908742.54,65851.06,0.04,1467473.27,-0.12,1960669.65,2026677.12,66007.47,0.03
406,06/06/2057,2340.0,1801.44,117934.58,538.56,118091.0,156.42,0.0,1908742.54,-41847.72,538.56,1867433.38,-41309.16,-0.02,1425625.55,-0.15,2026677.12,1985524.38,-41152.75,-0.02
407,07/06/2057,2340.0,1801.44,118091.0,538.56,118247.42,156.42,0.0,1867433.38,-2655.01,538.56,1865316.93,-2116.45,-0.0,1422970.54,-0.15,1985524.38,1983564.35,-1960.03,-0.0
408,08/05/2057,4590.0,1801.44,118247.42,2788.56,118403.83,156.42,0.0,1865316.93,-87088.89,2788.56,1781016.6,-84300.33,-0.05,1335881.66,-0.2,1983564.35,1899420.44,-84143.91,-0.04
409,09/04/2057,2340.0,1801.44,118403.83,538.56,118560.25,156.42,0.0,1781016.6,74424.04,538.56,1855979.21,74962.6,0.04,1410305.7,-0.16,1899420.44,1974539.46,75119.02,0.04
410,10/04/2057,2340.0,1828.46,118560.25,511.54,118716.67,156.42,0.0,1855979.21,18082.38,511.54,1874573.12,18593.92,0.01,1428388.08,-0.14,1974539.46,1993289.79,18750.33,0.01
411,11/03/2057,2340.0,1828.46,118716.67,511.54,118873.08,156.42,0.0,1874573.12,47280.74,511.54,1922365.4,47792.28,0.03,1475668.82,-0.12,1993289.79,2041238.48,47948.69,0.02
412,12/03/2057,2340.0,1828.46,118873.08,511.54,119029.5,156.42,0.0,1922365.4,117878.59,511.54,2040755.53,118390.12,0.06,1593547.4,-0.05,2041238.48,2159785.03,118546.54,0.06
413,01/02/2058,2340.0,1828.46,119029.5,511.54,119185.92,156.42,0.0,2040755.53,92741.52,511.54,2134008.58,93253.06,0.05,1686288.92,0.01,2159785.03,2253194.5,93409.47,0.04
414,02/01/2058,2340.0,1828.46,119185.92,511.54,119342.33,156.42,0.0,2134008.58,13588.97,511.54,2148109.09,14100.51,0.01,1699877.89,0.01,2253194.5,2267451.42,14256.92,0.01
415,03/03/2058,2340.0,1828.46,119342.33,511.54,119498.75,156.42,0.0,2148109.09,76121.12,511.54,2224741.75,76632.66,0.04,1775999.01,0.04,2267451.42,2344240.5,76789.08,0.03
416,04/02/2058,2340.0,1828.46,119498.75,511.54,119655.17,156.42,0.0,2224741.75,-90480.35,511.54,2134772.94,-89968.81,-0.04,1685518.66,-0.05,2344240.5,2254428.1,-89812.4,-0.04
417,05/02/2058,2340.0,1828.46,119655.17,511.54,119811.58,156.42,0.0,2134772.94,49750.46,511.54,2185034.93,50262.0,0.02,1735269.12,-0.02,2254428.1,2304846.52,50418.41,0.02
418,06/01/2058,2340.0,1828.46,119811.58,511.54,119968.0,156.42,0.0,2185034.93,28818.0,511.54,2214364.47,29329.54,0.01,1764087.12,-0.01,2304846.52,2334332.47,29485.95,0.01
419,07/01/2058,2340.0,1828.46,119968.0,511.54,120124.42,156.42,0.0,2214364.47,-104224.94,511.54,2110651.07,-103713.4,-0.05,1659862.18,-0.07,2334332.47,2230775.49,-103556.98,-0.04
420,07/31/2058,4590.0,1828.46,120124.42,2761.54,120280.83,156.42,0.0,2110651.07,114574.97,2761.54,2227987.58,117336.51,0.06,1774437.15,-0.0,2230775.49,2348268.41,117492.93,0.05
421,08/30/2058,2340.0,1828.46,120280.83,511.54,120437.25,156.42,0.0,2227987.58,-35020.77,511.54,2193478.35,-34509.23,-0.02,1739416.38,-0.02,2348268.41,2313915.6,-34352.81,-0.01
422,09/29/2058,2340.0,1855.89,120437.25,484.11,120593.67,156.42,0.0,2193478.35,69871.84,484.11,2263834.3,70355.95,0.03,1809288.22,0.02,2313915.6,2384427.97,70512.37,0.03
423,10/29/2058,2340.0,1855.89,120593.67,484.11,120750.08,156.42,0.0,2263834.3,-13526.13,484.11,2250792.28,-13042.02,-0.01,1795762.09,-0.01,2384427.97,2371542.36,-12885.6,-0.01
424,11/28/2058,2340.0,1855.89,120750.08,484.11,120906.5,156.42,0.0,2250792.28,95648.59,484.11,2346924.98,96132.7,0.04,1891410.68,0.05,2371542.36,2467831.48,96289.12,0.04
425,12/28/2058,2340.0,1855.89,120906.5,484.11,121062.92,156.42,0.0,2346924.98,125384.22,484.11,2472793.31,125868.33,0.05,2016794.9,0.07,2467831.48,2593856.23,126024.75,0.05
426,01/27/2059,2340.0,1855.89,121062.92,484.11,121219.33,156.42,0.0,2472793.31,-49550.71,484.11,2423726.71,-49066.6,-0.02,1967244.19,-0.02,2593856.23,2544946.05,-48910.18,-0.02
427,02/26/2059,2340.0,1855.89,121219.33,484.11,121375.75,156.42,0.0,2423726.71,-106775.92,484.11,2317434.9,-106291.81,-0.04,1860468.27,-0.08,2544946.05,2438810.65,-106135.4,-0.04
428,03/28/2059,2340.0,1855.89,121375.75,484.11,121532.17,156.42,0.0,2317434.9,9082.26,484.11,2327001.27,9566.37,0.0,1869550.53,-0.07,2438810.65,2448533.44,9722.79,0.0
429,04/27/2059,2340.0,1855.89,121532.17,484.11,121688.58,156.42,0.0,2327001.27,87346.45,484.11,2414831.83,87830.56,0.04,1956896.98,-0.03,2448533.44,2536520.42,87986.98,0.04
430,05/27/2059,2340.0,1855.89,121688.58,484.11,121845.0,156.42,0.0,2414831.83,-10401.95,484.11,2404914.0,-9917.84,-0.0,1946495.03,-0.03,2536520.42,2526759.0,-9761.42,-0.0
431,06/26/2059,2340.0,1855.89,121845.0,484.11,122001.42,156.42,0.0,2404914.0,-30333.99,484.11,2375064.11,-29849.88,-0.01,1916161.03,-0.05,2526759.0,2497065.53,-29693.47,-0.01
432,07/26/2059,4590.0,1855.89,122001.42,2734.11,122157.83,156.42,0.0,2375064.11,59778.78,2734.11,2437577.0,62512.89,0.03,1975939.81,-0.02,2497065.53,2559734.83,62669.3,0.03
